Area,ISO 3 code,Date,Area type,Continent,Ember region,EU,OECD,G20,G7,ASEAN,Category,Subcategory,Variable,Unit,Value,YoY absolute change,YoY % change,Year,Month,Quarter,YearMonth,Adalah_Agregat,Adalah_Provisional
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Wind,%,0.31,,,2019,2,1,2019-02,False,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Bioenergy,TWh,2.56,,,2019,2,1,2019-02,False,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Coal,TWh,36.96,,,2019,2,1,2019-02,False,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Gas,TWh,28.72,,,2019,2,1,2019-02,False,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Hydro,TWh,11.54,,,2019,2,1,2019-02,False,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Nuclear,TWh,0.0,,,2019,2,1,2019-02,False,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Other Fossil,TWh,1.04,,,2019,2,1,2019-02,False,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Other Renewables,TWh,3.02,,,2019,2,1,2019-02,False,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Solar,TWh,0.6,,,2019,2,1,2019-02,False,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Electricity generation,Fuel,Wind,TWh,0.27,,,2019,2,1,2019-02,False,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Electricity generation,Total,Total Generation,TWh,84.71,,,2019,2,1,2019-02,False,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Electricity imports,Electricity imports,Net Imports,TWh,,,,2019,2,1,2019-02,False,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Power sector emissions,Aggregate fuel,Clean,mtCO2,0.99,,,2019,2,1,2019-02,True,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Power sector emissions,Aggregate fuel,Fossil,mtCO2,51.29,,,2019,2,1,2019-02,True,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Power sector emissions,Aggregate fuel,Gas and Other Fossil,mtCO2,18.09,,,2019,2,1,2019-02,True,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Power sector emissions,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",mtCO2,0.96,,,2019,2,1,2019-02,True,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Power sector emissions,Aggregate fuel,Renewables,mtCO2,0.99,,,2019,2,1,2019-02,True,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Power sector emissions,Aggregate fuel,Wind and Solar,mtCO2,0.03,,,2019,2,1,2019-02,True,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Power sector emissions,CO2 intensity,CO2 intensity,gCO2/kWh,617.16,,,2019,2,1,2019-02,False,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Power sector emissions,Fuel,Bioenergy,mtCO2,0.57,,,2019,2,1,2019-02,False,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Power sector emissions,Fuel,Coal,mtCO2,33.2,,,2019,2,1,2019-02,False,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Power sector emissions,Fuel,Gas,mtCO2,17.37,,,2019,2,1,2019-02,False,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Power sector emissions,Fuel,Hydro,mtCO2,0.28,,,2019,2,1,2019-02,False,False
ASEAN,,2019-02-01,Region,,,False,False,False,False,False,Power sector emissions,Fuel,Nuclear,mtCO2,0.0,,,2019,2,1,2019-02,False,False
